#Angstrom	X	Y	Z
5266	0.14388070000000	0.81616480000000	0.03274404000000
5267	0.14496880000000	0.81747600000000	0.03246423000000
5268	0.14605930000000	0.81878260000000	0.03218656000000
5269	0.14715210000000	0.82008450000000	0.03191103000000
5270	0.14824710000000	0.82138170000000	0.03163764000000
5271	0.14934440000000	0.82267410000000	0.03136637000000
5272	0.15044380000000	0.82396150000000	0.03109721000000
5273	0.15154530000000	0.82524380000000	0.03083015000000
5274	0.15264870000000	0.82652100000000	0.03056520000000
5275	0.15375410000000	0.82779290000000	0.03030233000000
5276	0.15486140000000	0.82905950000000	0.03004154000000
5277	0.15597040000000	0.83032060000000	0.02978283000000
5278	0.15708120000000	0.83157610000000	0.02952617000000
5279	0.15819360000000	0.83282600000000	0.02927157000000
5280	0.15930760000000	0.83407010000000	0.02901901000000
5281	0.16042310000000	0.83530840000000	0.02876848000000
5282	0.16154000000000	0.83654060000000	0.02851998000000
5283	0.16265830000000	0.83776680000000	0.02827349000000
5284	0.16377790000000	0.83898680000000	0.02802900000000
5285	0.16489870000000	0.84020050000000	0.02778651000000
5286	0.16602060000000	0.84140780000000	0.02754601000000
5287	0.16714360000000	0.84260860000000	0.02730748000000
5288	0.16826760000000	0.84380290000000	0.02707091000000
5289	0.16939240000000	0.84499040000000	0.02683630000000
5290	0.17051810000000	0.84617110000000	0.02660364000000
5291	0.17164450000000	0.84734490000000	0.02637290000000
5292	0.17277160000000	0.84851160000000	0.02614410000000
5293	0.17389930000000	0.84967120000000	0.02591720000000
5294	0.17502750000000	0.85082360000000	0.02569221000000
5295	0.17615610000000	0.85196870000000	0.02546911000000
5296	0.17728510000000	0.85310630000000	0.02524789000000
5297	0.17841430000000	0.85423630000000	0.02502855000000
5298	0.17954360000000	0.85535860000000	0.02481106000000
5299	0.18067310000000	0.85647320000000	0.02459543000000
5300	0.18180260000000	0.85757990000000	0.02438164000000
5301	0.18293200000000	0.85867870000000	0.02416967000000
5302	0.18406150000000	0.85976970000000	0.02395951000000
5303	0.18519100000000	0.86085300000000	0.02375114000000
5304	0.18632070000000	0.86192900000000	0.02354454000000
5305	0.18745080000000	0.86299780000000	0.02333968000000
5306	0.18858120000000	0.86405960000000	0.02313656000000
5307	0.18971220000000	0.86511460000000	0.02293514000000
5308	0.19084370000000	0.86616300000000	0.02273542000000
5309	0.19197600000000	0.86720500000000	0.02253737000000
5310	0.19310900000000	0.86824080000000	0.02234097000000
5311	0.19424300000000	0.86927070000000	0.02214621000000
5312	0.19537800000000	0.87029480000000	0.02195307000000
5313	0.19651420000000	0.87131340000000	0.02176153000000
5314	0.19765160000000	0.87232670000000	0.02157157000000
5315	0.19879030000000	0.87333480000000	0.02138318000000
5316	0.19993050000000	0.87433800000000	0.02119634000000
5317	0.20107230000000	0.87533650000000	0.02101103000000
5318	0.20221590000000	0.87633060000000	0.02082724000000
5319	0.20336120000000	0.87732030000000	0.02064495000000
5320	0.20450850000000	0.87830610000000	0.02046415000000
5321	0.20565790000000	0.87928800000000	0.02028482000000
5322	0.20680950000000	0.88026640000000	0.02010695000000
5323	0.20796340000000	0.88124140000000	0.01993051000000
5324	0.20911970000000	0.88221320000000	0.01975550000000
5325	0.21027860000000	0.88318210000000	0.01958190000000
